石块|[(300, 1)]
人生|[(171, 4), (490, 1)]
首次|[(102, 1), (116, 2), (119, 1), (192, 2), (194, 1), (195, 1), (236, 1), (250, 1), (281, 1), (310, 1), (338, 1), (339, 1), (344, 2), (468, 1), (516, 1), (573, 1), (592, 1), (648, 1), (658, 1)]
乔尔杰|[(579, 1)]
伯明翰|[(75, 1), (82, 1), (143, 1), (229, 1), (363, 3)]
充满希望|[(512, 1)]
拉萨|[(369, 1)]
窗里会|[(456, 1)]
种种|[(121, 1), (536, 1)]
设计|[(313, 1), (437, 2), (591, 1)]
体系|[(3, 1), (107, 1), (168, 1), (171, 2), (191, 5), (270, 3), (273, 1), (639, 5)]
听不见|[(156, 1)]
错出|[(653, 1)]
克雷|[(652, 1), (662, 1)]
共赴|[(629, 1)]
齐名|[(592, 1)]
有利有弊|[(100, 1)]
而勒|[(17, 1)]
专栏|[(207, 1), (273, 1), (288, 1), (311, 1), (415, 1), (639, 2)]
五五开|[(207, 1)]
两黄变|[(368, 1)]
出击|[(188, 1), (231, 1), (338, 1), (351, 1), (358, 2), (359, 1), (601, 1), (648, 2)]
分边|[(508, 1)]
直播|[(547, 1)]
马尔滕|[(579, 1)]
能进球|[(231, 1), (477, 1)]
加蓬|[(71, 1)]
奥尔布|[(188, 5), (370, 5), (613, 1)]
跃升|[(651, 1)]
将队|[(232, 1)]
冲击|[(121, 1), (146, 1), (171, 1), (311, 1), (648, 2)]
愿意|[(3, 1), (6, 1), (30, 2), (45, 1), (57, 2), (82, 1), (120, 1), (128, 1), (131, 1), (136, 1), (139, 1), (147, 1), (175, 1), (206, 1), (212, 2), (224, 1), (227, 1), (229, 1), (232, 1), (239, 1), (240, 1), (264, 1), (269, 1), (294, 1), (304, 1), (364, 1), (367, 1), (375, 1), (385, 1), (399, 1), (412, 2), (418, 1), (432, 1), (453, 1), (456, 2), (483, 4), (488, 1), (492, 1), (494, 2), (510, 1), (518, 1), (519, 1), (520, 1), (523, 1), (527, 1), (529, 1), (534, 1), (543, 1), (545, 1), (562, 1), (566, 1), (576, 1), (577, 1), (581, 1), (587, 1), (588, 1), (594, 1), (603, 2), (606, 2), (607, 1), (610, 2), (625, 1), (626, 2), (634, 1), (636, 1), (638, 1), (639, 1), (666, 1), (668, 1)]
帕拉蒂|[(17, 1), (467, 1)]
到略超|[(532, 1)]
补充|[(24, 1), (94, 1), (135, 1), (165, 1), (171, 1), (191, 1), (193, 1), (200, 1), (260, 1), (347, 1), (349, 2), (350, 1), (384, 1), (417, 1), (477, 1), (535, 1), (576, 1), (608, 1), (663, 1)]
包揽|[(613, 1)]
时诺利托|[(520, 1)]
腕部|[(275, 1)]
侧身|[(146, 1), (308, 1), (324, 1), (338, 1), (455, 1), (645, 1), (648, 2)]
马|[(6, 1), (17, 1), (51, 2), (61, 1), (70, 2), (75, 4), (78, 17), (81, 1), (89, 1), (98, 1), (100, 1), (106, 2), (109, 1), (115, 2), (119, 3), (131, 1), (137, 1), (141, 3), (151, 1), (166, 1), (175, 2), (188, 7), (226, 2), (228, 9), (234, 2), (251, 2), (263, 2), (295, 2), (299, 1), (323, 1), (333, 1), (336, 1), (342, 2), (356, 1), (358, 13), (361, 1), (364, 3), (368, 9), (369, 1), (370, 6), (378, 1), (390, 1), (409, 1), (416, 6), (425, 1), (426, 1), (432, 2), (451, 2), (487, 1), (518, 1), (521, 3), (523, 2), (543, 5), (547, 2), (588, 1), (607, 5), (610, 1), (617, 3), (628, 3), (630, 1), (639, 3), (665, 1)]
照片|[(6, 1), (15, 1), (16, 2), (40, 1), (340, 1), (343, 1), (363, 1), (435, 1)]
站上|[(58, 1), (562, 1)]
意思|[(94, 1), (273, 1), (360, 1)]
接受|[(4, 1), (5, 1), (9, 2), (17, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 2), (45, 1), (51, 2), (53, 1), (55, 1), (56, 2), (58, 1), (59, 2), (62, 1), (65, 2), (68, 1), (70, 1), (73, 1), (74, 1), (76, 2), (82, 2), (89, 3), (91, 1), (94, 1), (97, 1), (98, 2), (99, 2), (100, 1), (108, 2), (109, 1), (111, 1), (115, 2), (118, 4), (121, 1), (133, 1), (135, 1), (142, 1), (145, 2), (154, 1), (156, 1), (166, 1), (171, 2), (176, 1), (201, 1), (207, 3), (209, 1), (215, 1), (221, 2), (223, 2), (227, 1), (228, 2), (231, 1), (237, 1), (239, 4), (242, 1), (243, 1), (248, 1), (251, 1), (252, 1), (256, 2), (267, 1), (269, 1), (270, 1), (275, 1), (290, 2), (294, 3), (295, 1), (303, 1), (312, 1), (316, 1), (317, 1), (321, 2), (343, 1), (347, 1), (353, 1), (360, 1), (361, 1), (376, 1), (377, 1), (396, 1), (402, 1), (403, 1), (404, 1), (405, 1), (406, 1), (412, 2), (419, 1), (420, 1), (421, 1), (431, 1), (432, 1), (446, 1), (448, 1), (453, 1), (456, 1), (460, 1), (461, 1), (483, 1), (500, 1), (503, 1), (505, 1), (506, 2), (514, 1), (515, 1), (518, 2), (522, 1), (523, 1), (536, 1), (537, 1), (543, 2), (553, 4), (554, 1), (562, 1), (564, 1), (568, 1), (569, 2), (570, 2), (596, 1), (617, 1), (643, 1), (649, 1), (650, 1)]
基础|[(19, 1), (100, 1), (269, 1), (279, 2), (350, 2), (477, 1), (489, 1)]
左边后卫|[(577, 1)]
致命|[(409, 1), (639, 1), (651, 1)]
伊兹奎|[(559, 1)]
力克|[(137, 2), (146, 2), (192, 1), (257, 1), (337, 1), (338, 2), (409, 1), (418, 1), (602, 1), (648, 2), (661, 1)]
几年|[(62, 1), (100, 1), (129, 1), (179, 1), (219, 1), (237, 1), (252, 1), (269, 1), (346, 1), (366, 1), (465, 1), (498, 1), (538, 1), (589, 1), (624, 2), (663, 1)]
不削|[(268, 1)]
显示|[(113, 1), (121, 1), (188, 1), (204, 1), (244, 2), (248, 1), (300, 1), (530, 2), (612, 1), (616, 2), (617, 2)]
比门迪|[(560, 1)]
坐车|[(171, 1)]
马扎|[(9, 1), (430, 3), (452, 2)]
无常|[(58, 1)]
挑传|[(216, 1), (308, 1), (455, 1), (530, 1), (601, 1), (648, 2)]
谢克|[(501, 1)]
腹股沟|[(148, 1)]
会面|[(17, 3), (82, 2), (100, 1), (175, 1), (239, 1), (349, 1), (387, 1), (412, 2), (428, 1), (433, 2), (467, 1), (518, 1), (540, 1), (550, 1), (553, 2), (577, 1), (589, 1)]
卸球|[(601, 1)]
改进|[(190, 1), (253, 1), (269, 1), (624, 1)]
一粒|[(195, 1), (207, 1), (280, 1), (307, 1), (314, 1), (339, 1), (358, 1), (439, 1), (458, 1), (568, 3), (648, 1), (663, 1)]
杰拉德|[(129, 8), (137, 6), (162, 5), (172, 1), (201, 3), (205, 2), (209, 1), (219, 3), (240, 1), (291, 2), (295, 2), (311, 7), (353, 2), (386, 3), (387, 4), (539, 3), (547, 5), (557, 4), (584, 5), (587, 2), (618, 1), (660, 1), (663, 4)]
方法|[(225, 2), (278, 1)]
病痛|[(221, 1)]
洛塔|[(17, 1), (51, 2), (100, 1), (553, 1)]
甚嚣尘上|[(255, 1), (596, 1)]
不懈|[(273, 1), (410, 1)]
称赞|[(104, 1), (171, 1), (237, 1), (239, 1), (384, 1), (418, 1), (443, 1), (659, 1)]
刺时|[(78, 1)]
特拉普|[(35, 1), (257, 5), (369, 1), (508, 1), (573, 1), (645, 2)]
有点|[(101, 1), (113, 1), (139, 1), (191, 1), (335, 1), (342, 1), (404, 1), (423, 1), (452, 1), (463, 1), (580, 1)]
资讯|[(6, 1), (17, 1), (45, 1), (51, 1), (75, 1), (82, 1), (89, 1), (98, 1), (118, 1), (239, 1), (412, 1), (467, 1), (483, 2), (518, 1), (523, 1), (543, 1), (553, 1), (577, 1), (588, 1), (617, 1)]
卡瓦略|[(85, 1), (87, 2)]
曼城队|[(385, 1), (407, 1)]
博拉|[(89, 2)]
魔鬼|[]
施加|[(214, 2)]
巨资|[(30, 1), (576, 1), (577, 1), (624, 1)]
不胖|[(432, 1)]
逼平|[(248, 1), (314, 1), (508, 1)]
招手|[(231, 1)]
窘境|[(131, 1)]
点亮|[(639, 1)]
颓势|[(613, 1)]
更能|[(311, 1)]
结合|[(42, 1), (57, 1), (113, 1)]
巴伊|[(268, 3), (419, 1), (573, 2), (648, 1)]
小伙子|[(13, 1), (100, 1), (121, 1), (172, 1), (269, 1), (366, 1)]
埃雷林|[(409, 1)]
目的|[(415, 1), (541, 1)]
第二张|[(530, 1)]
比奥|[(106, 1), (257, 1), (369, 1), (577, 1), (645, 1), (654, 2)]
高一|[(311, 1)]
重聚|[(75, 1), (123, 1)]
发挥作用|[(129, 1), (206, 1), (261, 2), (269, 1)]
聆听|[(496, 1)]
高下|[(87, 1)]
欧洲杯|[(16, 1), (58, 2), (84, 1), (197, 1), (476, 1), (615, 1)]
萨丁|[(175, 1)]
奥诺|[(344, 1)]
乌龙球|[(307, 1)]
献出|[(446, 1)]
咯|[(305, 1)]
成果|[(651, 1)]
比奇|[(580, 1)]
通知|[(98, 1), (228, 1), (365, 1)]
福斯|[(13, 5), (336, 1), (358, 1), (412, 1), (428, 4), (506, 4), (580, 1)]
热尔|[(504, 1)]
地位|[(243, 1)]
封锁|[(359, 1)]
仅剩|[(94, 1), (648, 1)]
梅内斯|[(85, 1), (87, 2), (226, 1), (234, 1), (333, 1), (336, 1), (358, 4), (361, 1), (378, 1), (381, 1), (389, 1), (409, 1), (607, 4)]
陪审团|[(348, 1)]
无需|[(240, 1), (593, 2), (626, 1)]
完全|[(17, 2), (34, 1), (39, 1), (97, 1), (101, 1), (161, 2), (171, 1), (191, 2), (197, 1), (206, 2), (232, 1), (240, 1), (243, 1), (268, 1), (311, 1), (315, 1), (346, 1), (380, 1), (415, 1), (419, 1), (474, 1), (485, 1), (508, 1), (552, 1), (590, 1), (624, 1), (649, 1), (651, 1)]
繁忙|[(446, 1)]
有时|[(24, 1), (191, 1), (240, 1), (291, 1), (432, 3), (596, 1)]
还会|[(91, 1), (92, 1), (119, 2), (134, 1), (171, 2), (191, 1), (211, 1), (252, 1), (278, 1), (510, 1), (518, 1), (558, 1)]
突前|[(146, 1), (188, 1), (338, 1), (455, 1), (601, 1)]
英格汉姆|[(10, 1)]
变多|[(446, 1)]
海外|[(35, 2), (612, 1)]
出于|[(416, 1), (598, 1)]
前进|[(20, 1), (157, 1), (224, 1), (253, 1), (280, 1), (416, 2), (423, 1)]
主体|[(591, 1)]
狼队|[(202, 2)]
居于|[(175, 1)]
一切都在|[(295, 1)]
赛前|[(48, 1), (85, 1), (87, 1), (94, 2), (105, 1), (119, 1), (149, 1), (155, 1), (158, 1), (195, 1), (206, 2), (270, 1), (279, 1), (372, 1), (385, 1), (390, 1), (391, 1), (398, 1), (411, 1), (416, 1), (446, 1), (468, 1), (647, 1), (651, 1)]
挂牌|[(529, 1)]
飞往|[(118, 1), (205, 1), (258, 2), (296, 1), (356, 1)]
正对|[(437, 1)]
克罗地亚|[(78, 7), (117, 1), (191, 1), (483, 1), (543, 1), (582, 2)]
硬碰硬|[(496, 1)]
教练|[(1, 1), (24, 2), (39, 1), (58, 3), (94, 2), (100, 2), (106, 2), (110, 1), (129, 1), (144, 1), (150, 1), (156, 1), (171, 1), (172, 1), (191, 1), (194, 1), (214, 1), (215, 1), (225, 1), (243, 1), (250, 1), (266, 1), (267, 1), (270, 2), (273, 1), (274, 1), (291, 1), (294, 3), (318, 1), (340, 3), (342, 2), (387, 1), (411, 1), (415, 2), (432, 1), (438, 1), (446, 2), (447, 1), (448, 1), (464, 1), (474, 2), (537, 1), (562, 3), (580, 2), (582, 2), (614, 2), (639, 1), (641, 3), (650, 1), (661, 1)]
幸福|[(276, 1), (490, 1)]
节目|[(286, 1), (353, 1), (423, 1), (568, 1), (584, 1), (590, 1), (629, 1)]
为斯|[]
北方|[]
家乡|[(0, 1), (48, 1), (78, 1), (276, 1), (660, 1), (663, 1)]
中卫|[(12, 1), (14, 1), (19, 3), (25, 1), (30, 1), (33, 3), (35, 2), (41, 3), (42, 2), (64, 1), (75, 1), (78, 1), (79, 1), (82, 3), (89, 1), (92, 1), (94, 3), (96, 2), (98, 3), (118, 1), (120, 1), (124, 1), (129, 1), (131, 1), (135, 1), (149, 1), (153, 2), (164, 1), (169, 2), (187, 1), (191, 6), (193, 1), (204, 2), (210, 2), (212, 1), (215, 1), (232, 1), (235, 1), (238, 4), (252, 2), (257, 1), (259, 1), (263, 1), (268, 4), (273, 2), (283, 1), (291, 1), (298, 1), (301, 3), (326, 2), (329, 2), (359, 1), (360, 1), (375, 2), (384, 1), (386, 2), (412, 1), (471, 1), (472, 2), (479, 1), (482, 1), (483, 1), (494, 3), (499, 1), (502, 1), (507, 1), (510, 2), (511, 1), (512, 1), (513, 1), (517, 3), (518, 1), (519, 1), (520, 1), (525, 1), (531, 2), (534, 2), (541, 5), (543, 2), (551, 1), (553, 1), (555, 1), (558, 2), (560, 1), (563, 1), (565, 1), (577, 4), (579, 1), (587, 1), (588, 2), (589, 1), (593, 2), (596, 3), (597, 1), (605, 2), (606, 4), (607, 1), (617, 5), (625, 3), (626, 3), (628, 2), (634, 2), (637, 1), (639, 6), (651, 1), (669, 1)]
网窝|[(58, 1), (94, 2)]
指尖|[(269, 1), (648, 1)]
下过|[(635, 1)]
近乎|[(188, 1)]
将鲁尼|[(113, 1)]
当前|[(380, 1), (456, 1), (535, 1), (596, 1)]
团结|[(273, 1), (293, 1), (432, 2), (562, 1), (596, 1)]
脆弱|[(163, 1)]
孔帕尼自|[(407, 1)]
球放回|[(663, 1)]
财政收入|[(437, 1)]
强壮|[(429, 1), (492, 1), (536, 1), (538, 1)]
培养费|[(91, 2)]
鲁马卖|[(577, 1)]
费尔南多|[(273, 1), (601, 2)]
中午|[(49, 1), (573, 1)]
弗莱彻|[(388, 1), (391, 1), (398, 1), (439, 2), (588, 1), (601, 3), (652, 1), (662, 1)]
组第|[(308, 1), (455, 2)]
协议|[(17, 1), (27, 1), (28, 1), (52, 1), (78, 2), (89, 1), (98, 1), (136, 1), (139, 1), (210, 1), (224, 1), (228, 1), (238, 1), (243, 1), (341, 1), (350, 1), (379, 1), (408, 1), (412, 1), (433, 1), (467, 1), (533, 1), (571, 1), (577, 2), (616, 1), (622, 1), (632, 1)]
尔塔|[(10, 2)]
窗|[(98, 1), (210, 1), (663, 1)]
双双|[(94, 1)]
扬马|[(370, 3)]
清理|[(171, 1), (432, 1)]
英伦|[(268, 1), (273, 1), (274, 1), (281, 1)]
毛病|[(171, 1), (660, 1)]
过程|[(12, 1), (40, 1), (121, 1), (279, 1), (300, 1), (311, 1), (342, 1), (385, 1), (387, 1), (415, 1), (546, 2), (553, 1), (651, 1)]
十大|[(268, 2)]
可人|[]
赌球|[(247, 1)]
变少|[(294, 1)]
若有|[(191, 1)]
平均年龄|[(123, 1), (278, 1)]
乌切|[(378, 1)]
吉夏尔|[(645, 1)]
专职|[(482, 1)]
蓝色|[(40, 1)]
国青队|[(207, 1), (344, 1)]
超越|[(26, 1), (44, 1), (207, 1), (338, 1), (385, 1), (418, 1), (419, 1)]
真传|[(308, 1)]
一片空白|[(94, 1)]
衡量|[(138, 1), (407, 1), (467, 1)]
光芒|[(639, 1)]
路上|[(144, 1), (156, 1), (171, 1), (231, 1), (423, 1), (611, 1)]
欧元|[(2, 3), (3, 2), (4, 2), (6, 2), (9, 1), (17, 3), (22, 1), (45, 5), (51, 1), (52, 3), (56, 3), (57, 7), (68, 1), (72, 1), (73, 1), (75, 5), (77, 1), (82, 5), (89, 1), (98, 6), (100, 1), (104, 1), (111, 2), (118, 5), (122, 5), (126, 1), (128, 3), (139, 3), (142, 3), (147, 5), (154, 2), (160, 1), (168, 1), (181, 1), (186, 1), (228, 2), (233, 1), (239, 2), (254, 3), (258, 4), (299, 2), (341, 2), (379, 1), (400, 1), (403, 1), (412, 1), (429, 3), (433, 1), (462, 1), (467, 1), (473, 1), (483, 2), (503, 5), (518, 5), (522, 1), (523, 1), (524, 1), (528, 2), (533, 2), (540, 3), (542, 2), (543, 2), (544, 1), (548, 6), (550, 3), (553, 1), (556, 2), (566, 2), (567, 1), (577, 5), (588, 6), (594, 2), (598, 3), (607, 1), (617, 6), (622, 1), (628, 2)]
停滞|[(6, 1), (69, 1), (160, 1), (467, 1), (470, 1), (544, 1), (549, 1), (553, 1)]
事情|[(19, 1), (24, 1), (36, 1), (54, 1), (58, 1), (84, 1), (89, 1), (92, 1), (108, 2), (119, 2), (121, 1), (129, 1), (135, 1), (155, 3), (156, 1), (157, 1), (171, 1), (172, 1), (191, 3), (197, 2), (206, 2), (207, 1), (209, 2), (214, 3), (230, 1), (231, 2), (237, 1), (240, 1), (248, 1), (268, 1), (269, 4), (270, 3), (273, 1), (279, 2), (280, 1), (298, 2), (311, 3), (318, 1), (352, 1), (360, 1), (374, 1), (387, 1), (414, 1), (418, 1), (425, 1), (426, 1), (432, 6), (436, 2), (446, 4), (456, 3), (477, 1), (505, 1), (512, 1), (553, 1), (568, 1), (583, 2), (596, 1), (643, 1), (659, 1)]
开放|[(316, 1), (456, 1), (473, 1)]
发生爆炸|[(158, 1)]
维尔特|[(504, 2)]
突右晃|[(648, 1)]
有待|[(268, 1)]
近几个月|[(475, 1), (498, 1)]
走马换将|[(409, 1)]
千里|[(346, 1)]
前五上|[(486, 1)]
渗透|[(257, 1)]
优异|[(176, 1), (250, 1), (538, 1), (602, 1), (643, 1)]
紧锣密鼓|[(360, 1)]
真实|[(99, 1), (154, 1)]
受益匪浅|[(639, 1)]
佩是|[(379, 1)]
祖玛|[(89, 1)]
雷茨|[(174, 1), (212, 1), (573, 1), (636, 1)]
二月份|[(109, 1), (639, 1)]
强有力|[(337, 1)]
利队|[(592, 1)]
队中|[(198, 1), (212, 1), (232, 1), (240, 1), (243, 1), (362, 1), (429, 1), (518, 1), (519, 1), (536, 1), (593, 3), (606, 1)]
竞争对手|[(74, 1), (219, 1), (232, 1), (271, 1), (278, 1), (281, 1), (374, 1), (515, 1), (624, 1)]
谈太多|[(452, 1)]
负面影响|[(405, 1)]
惹恼|[(315, 1)]
庞贝|[(257, 1)]
言论|[(268, 1), (303, 2), (360, 1), (507, 1)]
上港|[(296, 2)]
马略卡|[(112, 1)]
足球|[(6, 1), (12, 2), (17, 1), (24, 1), (30, 2), (35, 1), (38, 1), (43, 2), (45, 1), (51, 1), (75, 1), (78, 1), (82, 1), (88, 1), (89, 1), (93, 2), (94, 1), (98, 1), (101, 2), (102, 1), (104, 1), (105, 1), (108, 1), (110, 1), (113, 1), (117, 1), (118, 1), (119, 1), (121, 2), (123, 1), (124, 1), (125, 1), (127, 1), (129, 1), (133, 1), (135, 2), (137, 1), (138, 1), (141, 1), (142, 1), (145, 1), (147, 1), (148, 1), (149, 2), (150, 1), (151, 1), (152, 1), (153, 1), (154, 1), (155, 1), (156, 2), (158, 1), (159, 1), (161, 1), (162, 1), (163, 1), (166, 1), (167, 1), (168, 1), (169, 1), (170, 1), (171, 10), (172, 1), (174, 1), (175, 1), (176, 2), (177, 3), (178, 2), (179, 2), (180, 1), (181, 1), (182, 1), (183, 2), (185, 1), (186, 1), (187, 2), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1), (193, 1), (194, 1), (195, 1), (196, 1), (197, 1), (198, 1), (199, 1), (200, 1), (201, 1), (202, 1), (203, 1), (204, 2), (205, 1), (206, 2), (207, 2), (208, 1), (209, 1), (210, 1), (212, 1), (213, 1), (214, 1), (215, 1), (216, 1), (217, 1), (218, 1), (219, 1), (220, 1), (221, 1), (222, 1), (223, 1), (225, 1), (226, 1), (228, 1), (230, 1), (231, 1), (232, 1), (233, 1), (234, 1), (235, 1), (237, 1), (238, 1), (239, 1), (240, 1), (241, 3), (242, 1), (243, 1), (244, 1), (245, 1), (246, 1), (247, 1), (248, 1), (249, 1), (250, 1), (251, 1), (252, 1), (253, 1), (254, 1), (256, 1), (257, 1), (258, 2), (259, 1), (260, 5), (261, 1), (262, 1), (263, 1), (264, 1), (265, 1), (266, 1), (267, 2), (268, 1), (269, 1), (270, 1), (271, 1), (272, 2), (273, 1), (274, 1), (275, 2), (276, 1), (277, 1), (278, 1), (279, 3), (280, 1), (281, 2), (282, 1), (283, 1), (284, 1), (285, 4), (286, 1), (287, 1), (288, 1), (289, 1), (290, 1), (291, 1), (292, 1), (293, 1), (294, 1), (295, 1), (296, 1), (297, 2), (298, 2), (299, 1), (300, 2), (302, 1), (303, 1), (305, 1), (306, 1), (307, 1), (309, 1), (310, 1), (311, 2), (312, 2), (313, 1), (314, 2), (315, 2), (316, 2), (317, 1), (318, 1), (319, 1), (320, 1), (321, 1), (322, 3), (323, 1), (324, 1), (325, 1), (326, 1), (327, 1), (328, 2), (329, 1), (332, 1), (333, 1), (334, 1), (335, 1), (336, 1), (337, 1), (338, 1), (340, 2), (342, 2), (346, 1), (347, 2), (348, 1), (349, 1), (350, 1), (353, 1), (354, 1), (355, 1), (358, 1), (360, 1), (361, 1), (362, 1), (363, 1), (364, 1), (365, 1), (366, 1), (367, 1), (368, 1), (369, 1), (370, 1), (371, 1), (372, 1), (374, 1), (376, 1), (377, 4), (378, 1), (379, 3), (380, 1), (381, 1), (382, 1), (383, 1), (384, 1), (385, 1), (386, 1), (387, 1), (388, 1), (389, 1), (391, 1), (392, 1), (394, 1), (395, 1), (396, 1), (398, 1), (399, 1), (400, 1), (401, 1), (402, 1), (403, 3), (404, 2), (405, 1), (406, 1), (407, 3), (409, 1), (410, 1), (411, 1), (412, 2), (413, 1), (414, 1), (415, 1), (416, 1), (417, 1), (418, 1), (419, 1), (420, 2), (421, 1), (422, 1), (423, 1), (424, 1), (425, 3), (426, 1), (429, 1), (430, 1), (431, 1), (432, 1), (434, 1), (435, 1), (436, 1), (437, 1), (439, 1), (440, 1), (441, 1), (443, 1), (444, 1), (445, 2), (446, 1), (447, 1), (448, 1), (449, 1), (450, 1), (451, 1), (452, 3), (453, 3), (454, 1), (456, 3), (457, 3), (458, 1), (459, 1), (460, 1), (461, 1), (462, 1), (463, 1), (464, 1), (465, 1), (466, 1), (467, 1), (469, 1), (471, 1), (472, 1), (474, 1), (475, 1), (477, 2), (480, 1), (481, 1), (483, 1), (485, 1), (486, 4), (487, 2), (489, 1), (491, 1), (492, 1), (493, 1), (494, 1), (495, 1), (497, 1), (498, 1), (499, 1), (500, 1), (501, 1), (503, 1), (504, 1), (508, 1), (509, 1), (512, 2), (514, 1), (516, 1), (518, 2), (520, 1), (521, 1), (522, 1), (523, 2), (525, 1), (526, 1), (527, 1), (528, 1), (529, 1), (530, 1), (531, 1), (533, 1), (534, 1), (536, 1), (537, 1), (539, 1), (541, 1), (542, 1), (543, 1), (544, 1), (546, 1), (547, 1), (550, 1), (553, 1), (559, 1), (560, 1), (561, 2), (562, 1), (563, 1), (564, 1), (565, 1), (566, 1), (567, 1), (568, 1), (569, 1), (570, 1), (572, 1), (573, 1), (577, 1), (578, 2), (580, 3), (581, 1), (582, 1), (583, 1), (588, 2), (591, 1), (592, 3), (593, 2), (594, 1), (595, 1), (596, 2), (597, 1), (598, 1), (599, 1), (600, 1), (601, 1), (602, 1), (603, 1), (604, 1), (605, 1), (606, 1), (607, 1), (608, 1), (609, 2), (610, 1), (611, 2), (612, 1), (613, 1), (614, 2), (615, 1), (616, 1), (617, 1), (618, 1), (619, 1), (620, 1), (621, 1), (622, 1), (623, 1), (624, 5), (625, 1), (626, 1), (627, 1), (628, 1), (629, 1), (630, 1), (631, 1), (632, 1), (633, 1), (635, 1), (636, 1), (637, 1), (638, 1), (639, 1), (640, 1), (641, 1), (642, 1), (643, 2), (644, 1), (645, 1), (646, 1), (647, 1), (649, 4), (650, 1), (651, 1), (652, 1), (653, 1), (654, 1), (655, 1), (656, 1), (657, 1), (658, 1), (659, 2), (660, 2), (661, 1), (662, 1), (663, 1), (664, 1), (665, 1), (666, 1), (667, 1), (668, 1), (669, 1)]
花得|[(268, 1)]
哈穆马|[(645, 2)]
跑动|[(156, 1), (187, 1)]
互换|[]
拼劲|[(314, 1), (406, 1)]
积极向上|[(171, 1)]
好胜心|[(267, 1)]
维罗纳|[(17, 1), (577, 1)]
出庭|[(45, 1), (78, 1), (115, 2)]
骑士|[(16, 1)]
雷斯|[(83, 2), (465, 1)]
舌头|[(171, 1)]
射正|[(244, 1)]
引人注目|[(492, 1), (546, 1)]
塞拉|[(409, 1), (504, 1)]
工作|[(11, 1), (24, 1), (25, 1), (63, 1), (65, 1), (100, 2), (105, 1), (108, 1), (118, 1), (157, 1), (171, 3), (190, 1), (196, 2), (206, 2), (225, 2), (232, 1), (249, 1), (259, 1), (269, 1), (270, 4), (276, 1), (279, 1), (281, 1), (285, 1), (311, 1), (317, 1), (346, 1), (347, 1), (349, 1), (360, 1), (362, 1), (380, 1), (407, 1), (415, 1), (416, 1), (419, 1), (432, 1), (444, 1), (445, 1), (446, 1), (464, 1), (465, 1), (474, 2), (475, 1), (492, 2), (538, 1), (560, 1), (576, 1), (582, 3), (624, 8), (626, 1), (649, 1), (650, 1), (663, 2), (669, 1)]
过生日|[]
金钱|[(277, 1), (536, 1), (606, 1)]
隐瞒|[(571, 1)]
随即|[(146, 1), (338, 1)]
改打|[(253, 1), (415, 1)]
本个|[(82, 1)]
传后|[(323, 1), (455, 1)]
一周|[(94, 2), (101, 1), (102, 1), (248, 1), (562, 1), (611, 2), (644, 1), (648, 2)]
多面手|[(17, 1), (70, 1), (628, 1)]
